name,player_id,season,team.x,games,mpg,fg.,X3pt.,ft.,orb,drb,trb,ast,stl,blk,tov,pt,prod_pts
Kent Bazemore,11079,2020,GS,29,16.66,0.5,0.439,0.8,0.45,2.72,3.17,1.72,0.86,0.55,1.07,6.66,14.81
Kent Bazemore,11079,2019,SAC,68,24.81,0.375,0.344,0.769,0.4,3.93,4.32,1.37,1.09,0.59,1.34,8.78,18.03
Kent Bazemore,11079,2018,ATL,67,24.52,0.402,0.32,0.722,0.55,3.34,3.9,2.27,1.33,0.63,1.81,11.63,21.81
Kent Bazemore,11079,2017,ATL,65,27.51,0.42,0.394,0.796,0.38,3.43,3.82,3.51,1.54,0.69,2.42,12.86,24.75
Kent Bazemore,11079,2016,ATL,73,26.88,0.409,0.346,0.708,0.62,2.51,3.12,2.42,1.26,0.73,1.68,10.97,20.65
Kent Bazemore,11079,2015,ATL,75,27.69,0.442,0.359,0.815,0.37,4.67,5.04,2.28,1.31,0.51,1.84,11.63,22.88
Kent Bazemore,11079,2014,ATL,75,17.64,0.426,0.364,0.6,0.28,2.68,2.96,1.04,0.69,0.44,0.97,5.2,11.61
Kent Bazemore,11079,2013,LAL,66,13.7,0.43,0.336,0.607,0.15,1.59,1.74,1.38,0.65,0.18,1.18,6.09,10.73
Kent Bazemore,11079,2012,GS,60,4.35,0.377,0.294,0.605,0.07,0.28,0.35,0.37,0.28,0.07,0.3,1.98,3.35
Miles Plumlee,10851,2018,ATL,18,172,0.667,0,0.533,0.89,1.28,2.17,0.94,0.33,0.22,0.56,4.44,9.02
Miles Plumlee,10851,2017,ATL,55,917,0.583,0,0.45,1.4,2.75,4.15,0.82,0.31,0.55,1.15,4.31,11.07
Miles Plumlee,10851,2016,CHA,45,484,0.478,0,0.641,0.82,1.27,2.09,0.47,0.4,0.29,0.67,2.51,6.43
Miles Plumlee,10851,2015,MIL,61,869,0.601,0,0.576,1.56,2.25,3.8,0.26,0.34,0.82,0.66,5.15,11.78
Miles Plumlee,10851,2014,PHO,73,1194,0.535,0,0.478,1.53,2.85,4.38,0.47,0.56,0.9,0.7,4.03,12.22
Miles Plumlee,10851,2013,PHO,80,1963,0.517,0,0.561,2.48,5.35,7.83,0.54,0.63,1.13,1.39,8.08,20.38
Miles Plumlee,10851,2012,IND,14,55,0.238,0,0.75,0.86,0.71,1.57,0.14,0,0.21,0.21,0.93,3.24
Dewayne Dedmon,13536,2019,ATL,44,773,0.4,0.206,0.833,1.36,4.3,5.66,0.5,0.57,0.93,1.3,5.82,15.06
Dewayne Dedmon,13536,2018,ATL,64,1609,0.492,0.382,0.814,1.64,5.86,7.5,1.41,1.08,1.11,1.31,10.83,25
Dewayne Dedmon,13536,2017,ATL,62,1542,0.524,0.355,0.779,1.61,6.27,7.89,1.45,0.65,0.82,1.39,9.95,23.14
Dewayne Dedmon,13536,2016,SA,76,1329,0.622,0,0.699,1.68,4.82,6.5,0.59,0.51,0.84,0.8,5.09,15.69
Dewayne Dedmon,13536,2015,ORL,58,704,0.559,0,0.75,1.16,2.78,3.93,0.22,0.38,0.79,0.55,4.4,11.24
Dewayne Dedmon,13536,2014,ORL,59,845,0.562,0,0.531,2,3,5,0.15,0.27,0.85,0.86,3.66,11.26
Dewayne Dedmon,13536,2013,GS,31,390,0.458,0,0.656,1.23,2.87,4.1,0.16,0.23,0.71,0.58,3.13,9.58
Trae Young,26971,2020,ATL,28,34.75,0.439,0.379,0.885,0.71,3.21,3.93,9.54,0.86,0.25,4.29,26.93,43.88
Trae Young,26971,2019,ATL,60,35.33,0.437,0.361,0.86,0.52,3.72,4.23,9.33,1.08,0.13,4.82,29.63,46.33
Trae Young,26971,2018,ATL,81,30.9,0.418,0.324,0.829,0.79,2.93,3.72,8.06,0.89,0.19,3.8,19.12,34.02
Alex Len,13318,2020,WAS,21,297,0.627,0.316,0.588,0.71,2.62,3.33,1,0.38,1.14,1.1,5.71,13.17
Alex Len,13318,2019,SAC,55,970,0.555,0.271,0.648,1.82,4.02,5.84,0.91,0.42,0.87,1,7.96,17.91
Alex Len,13318,2018,ATL,77,1544,0.494,0.363,0.648,2.05,3.45,5.51,1.12,0.35,0.9,1.26,11.09,20.61
Alex Len,13318,2017,PHO,69,1395,0.566,0.333,0.684,2.55,4.97,7.52,1.19,0.39,0.88,1.13,8.51,20.74
Alex Len,13318,2016,PHO,77,1559,0.498,0.25,0.721,2,4.6,6.6,0.57,0.47,1.29,1.32,7.96,18.92
Alex Len,13318,2015,PHO,78,1820,0.424,0.143,0.728,2.28,5.33,7.62,1.24,0.49,0.79,1.86,9.01,20.72
Alex Len,13318,2014,PHO,69,1518,0.507,0.333,0.702,2.06,4.52,6.58,0.46,0.49,1.52,1.07,6.26,17.81
Alex Len,13318,2013,PHO,41,362,0.423,0,0.645,0.95,1.46,2.41,0.1,0.1,0.44,0.63,2.1,5.58
Taurean Prince,20217,2020,CLE,27,21.89,0.392,0.4,0.849,0.44,3.19,3.63,1.7,0.7,0.7,1.15,8.7,17.28
Taurean Prince,20217,2019,BKN,64,29.02,0.376,0.339,0.798,0.78,5.17,5.95,1.81,0.89,0.39,1.98,12.08,22.52
Taurean Prince,20217,2018,ATL,55,28.22,0.441,0.39,0.819,0.4,3.22,3.62,2.15,0.96,0.35,1.82,13.49,21.85
Taurean Prince,20217,2017,ATL,82,30.04,0.426,0.385,0.844,0.61,4.13,4.74,2.61,1.02,0.51,2.34,14.12,24.46
Taurean Prince,20217,2016,ATL,59,16.63,0.399,0.324,0.787,0.42,2.22,2.64,0.9,0.75,0.46,1.05,5.68,11.55
Justin Anderson,17849,2019,BKN,10,10.7,0.263,0.207,0.5,0.1,2,2.1,0.8,0,0.6,0.4,2.8,7.32
Justin Anderson,17849,2018,ATL,48,9.65,0.408,0.312,0.743,0.5,1.25,1.75,0.48,0.46,0.27,0.48,3.71,7.51
Justin Anderson,17849,2017,PHI,38,13.66,0.431,0.33,0.737,0.66,1.76,2.42,0.66,0.39,0.18,0.42,6.21,10.84
Justin Anderson,17849,2016,PHI,75,16.36,0.427,0.301,0.791,0.92,2.37,3.29,0.88,0.56,0.31,0.88,7.09,13.22
Justin Anderson,17849,2015,DAL,55,11.75,0.403,0.265,0.8,0.35,2.07,2.42,0.53,0.35,0.45,0.44,3.78,8.64
John Collins,23614,2020,ATL,30,31.43,0.531,0.379,0.854,2.17,5.37,7.53,1.57,0.47,1,1.37,17.63,30.59
John Collins,23614,2019,ATL,41,33.2,0.583,0.401,0.8,2.83,7.32,10.15,1.46,0.76,1.61,1.83,21.59,38.86
John Collins,23614,2018,ATL,61,29.97,0.56,0.348,0.766,3.59,6.16,9.75,1.98,0.36,0.64,1.97,19.48,34.19
John Collins,23614,2017,ATL,74,24.12,0.576,0.34,0.715,2.38,4.93,7.31,1.32,0.64,1.08,1.42,10.5,23.27
Kevin Huerter,26985,2020,ATL,30,31.7,0.425,0.376,0.792,0.67,2.93,3.6,3.73,1.13,0.2,1.27,11.7,23.02
Kevin Huerter,26985,2019,ATL,56,31.43,0.413,0.38,0.828,0.64,3.45,4.09,3.82,0.91,0.48,1.55,12.21,24.09
Kevin Huerter,26985,2018,ATL,75,27.31,0.419,0.385,0.732,0.8,2.47,3.27,2.85,0.87,0.33,1.45,9.69,18.84
DeAndre' Bembry,20226,2020,TOR,22,15.59,0.6,0.421,0.538,0.5,1.41,1.91,1.68,0.55,0.27,0.77,4.5,10.18
DeAndre' Bembry,20226,2019,ATL,43,21.28,0.456,0.231,0.542,0.79,2.74,3.53,1.88,1.28,0.44,1.4,5.79,14.9
DeAndre' Bembry,20226,2018,ATL,82,23.55,0.446,0.289,0.64,0.66,3.71,4.37,2.46,1.28,0.5,1.73,8.38,19.14
DeAndre' Bembry,20226,2017,ATL,26,17.5,0.414,0.367,0.576,0.31,2.46,2.77,1.88,0.81,0.46,1.81,5.23,12.11
DeAndre' Bembry,20226,2016,ATL,38,9.74,0.48,0.056,0.375,0.37,1.18,1.55,0.76,0.21,0.13,0.42,2.66,5.93
Omari Spellman,26996,2020,NY,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Omari Spellman,26996,2019,MIN,49,18.08,0.431,0.391,0.793,1.57,2.9,4.47,0.96,0.67,0.49,1.1,7.55,15.58
Omari Spellman,26996,2018,ATL,46,17.48,0.402,0.344,0.711,1.57,2.65,4.22,1.02,0.57,0.54,0.67,5.91,14.05
Vince Carter,2590,2019,ATL,60,14.58,0.352,0.302,0.793,0.3,1.77,2.07,0.8,0.38,0.42,0.55,4.97,9.7
Vince Carter,2590,2018,ATL,76,17.5,0.419,0.389,0.712,0.41,2.14,2.55,1.14,0.58,0.36,0.63,7.39,13.41
Vince Carter,2590,2017,SAC,58,17.69,0.403,0.345,0.757,0.31,2.24,2.55,1.19,0.72,0.45,0.62,5.4,11.97
Vince Carter,2590,2016,MEM,73,24.64,0.394,0.378,0.765,0.49,2.6,3.1,1.82,0.82,0.49,0.68,8.03,16.42
Vince Carter,2590,2015,MEM,60,16.75,0.388,0.349,0.833,0.52,1.92,2.43,0.93,0.63,0.27,0.58,6.58,12.12
Vince Carter,2590,2014,MEM,65,16.52,0.336,0.303,0.782,0.42,1.62,2.03,1.2,0.65,0.22,0.66,5.85,11.14
Vince Carter,2590,2013,DAL,81,24.35,0.407,0.394,0.821,0.83,2.68,3.51,2.62,0.75,0.43,1.33,11.94,21.11
Vince Carter,2590,2012,DAL,80,25.84,0.435,0.405,0.816,0.71,3.43,4.14,2.33,0.93,0.55,1.31,13.43,23.52
Vince Carter,2590,2011,DAL,62,25.18,0.41,0.357,0.821,0.52,2.79,3.31,2.26,0.94,0.42,1.39,10.06,18.74
Vince Carter,2590,2010,PHO,48,29.67,0.44,0.359,0.742,0.77,3.54,4.31,2.23,0.9,0.25,1.35,14.17,23.62
Vince Carter,2590,2009,ORL,11,30.73,0.416,0.424,0.857,0.55,4.18,4.73,2.27,0.64,0.64,1.73,18.73,28.63
Vince Carter,2590,2008,BKN,78,36.73,0.44,0.391,0.813,0.91,4.23,5.14,4.69,1.03,0.46,2.03,20.78,34.94
Jaylen Adams,27343,2020,MIL,7,2.57,0.125,0,0,0,0.43,0.43,0.29,0,0,0,0.29,1.23
Jaylen Adams,27343,2019,POR,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jaylen Adams,27343,2018,ATL,34,12.56,0.345,0.338,0.778,0.32,1.44,1.76,1.91,0.41,0.15,0.82,3.18,8.46
Deyonta Davis,20237,2018,ATL,9,118,0.682,0,0.6,1.11,2.89,4,0.56,0.33,0.56,0.33,4,11.08
Deyonta Davis,20237,2017,MEM,62,941,0.608,0,0.667,1.21,2.82,4.03,0.65,0.24,0.63,0.52,5.81,12.84
Deyonta Davis,20237,2016,MEM,36,238,0.511,0,0.556,0.56,1.11,1.67,0.06,0.08,0.47,0.22,1.61,4.58
Gordon Hayward,6891,2020,CHA,27,35.33,0.485,0.432,0.864,0.89,4.63,5.52,3.74,1.15,0.41,2.11,21.93,35.16
Gordon Hayward,6891,2019,BOS,52,33.46,0.5,0.383,0.855,1.06,5.63,6.69,4.08,0.73,0.42,1.85,17.48,32.09
Gordon Hayward,6891,2018,BOS,72,25.88,0.466,0.333,0.834,0.71,3.76,4.47,3.39,0.86,0.32,1.46,11.46,22.81
Gordon Hayward,6891,2017,BOS,1,5,0.5,0,0,0,1,1,0,0,0,0,2,3.2
Gordon Hayward,6891,2016,UTA,73,34.45,0.472,0.398,0.844,0.66,4.74,5.4,3.45,1,0.27,1.92,21.93,34.22
Gordon Hayward,6891,2015,UTA,80,36.15,0.433,0.349,0.824,0.76,4.2,4.96,3.7,1.19,0.34,2.53,19.73,31.76
Gordon Hayward,6891,2014,UTA,76,34.43,0.445,0.364,0.812,0.71,4.2,4.91,4.12,1.42,0.39,2.71,19.25,32.24
Gordon Hayward,6891,2013,UTA,76,36.28,0.412,0.298,0.815,0.79,4.29,5.08,5.13,1.42,0.51,2.72,16.07,31
Gordon Hayward,6891,2012,UTA,72,29.22,0.435,0.415,0.827,0.71,2.42,3.13,2.96,0.81,0.53,1.67,14.13,23.31
Gordon Hayward,6891,2011,UTA,66,30.12,0.452,0.353,0.827,0.85,2.62,3.47,3.09,0.79,0.61,1.73,11.5,21.36
Gordon Hayward,6891,2010,UTA,49,12.69,0.427,0.345,0.72,0.59,1.1,1.69,0.78,0.27,0.22,0.84,3.43,6.77
Al Horford,2199,2020,OKC,21,28.24,0.451,0.381,0.778,0.76,6.1,6.86,3.52,0.95,0.81,1.19,14.52,30.37
