team,year,name,id
atlanta-hawks,2018,Kent Bazemore,11079
atlanta-hawks,2018,Miles Plumlee,10851
atlanta-hawks,2018,Dewayne Dedmon,13536
atlanta-hawks,2018,Trae Young,26971
atlanta-hawks,2018,Alex Len,13318
atlanta-hawks,2018,Taurean Prince,20217
atlanta-hawks,2018,Justin Anderson,17849
atlanta-hawks,2018,John Collins,23614
atlanta-hawks,2018,Kevin Huerter,26985
atlanta-hawks,2018,DeAndre' Bembry,20226
atlanta-hawks,2018,Omari Spellman,26996
atlanta-hawks,2018,Vince Carter,2590
atlanta-hawks,2018,Jaylen Adams,27343
atlanta-hawks,2018,Isaac Humphries,28091
atlanta-hawks,2018,Deyonta Davis,20237
boston-celtics,2018,Gordon Hayward,6891
boston-celtics,2018,Al Horford,2199
boston-celtics,2018,Kyrie Irving,8051
boston-celtics,2018,Marcus Smart,15358
boston-celtics,2018,Jayson Tatum,23598
boston-celtics,2018,Marcus Morris Sr.,8065
boston-celtics,2018,Aron Baynes,11850
boston-celtics,2018,Jaylen Brown,20208
boston-celtics,2018,Terry Rozier,17844
boston-celtics,2018,Guerschon Yabusele,20221
boston-celtics,2018,Robert Williams,26993
boston-celtics,2018,Semi Ojeleye,23632
boston-celtics,2018,Daniel Theis,23828
boston-celtics,2018,Brad Wanamaker,27289
boston-celtics,2018,Jonathan Gibson,20788
brooklyn-nets,2018,Allen Crabbe,13344
brooklyn-nets,2018,DeMarre Carroll,6294
brooklyn-nets,2018,Jared Dudley,2228
brooklyn-nets,2018,Joe Harris,15385
brooklyn-nets,2018,D'Angelo Russell,17830
brooklyn-nets,2018,Ed Davis,6895
brooklyn-nets,2018,Rondae Hollis-Jefferson,17851
brooklyn-nets,2018,Jarrett Allen,23617
brooklyn-nets,2018,Shabazz Napier,15376
brooklyn-nets,2018,Caris LeVert,20225
brooklyn-nets,2018,Spencer Dinwiddie,15390
brooklyn-nets,2018,Dzanan Musa,26995
brooklyn-nets,2018,Rodions Kurucs,27006
brooklyn-nets,2018,Treveon Graham,18124
brooklyn-nets,2018,Theo Pinson,27827
charlotte-hornets,2018,Nicolas Batum,6149
charlotte-hornets,2018,Bismack Biyombo,8057
charlotte-hornets,2018,Marvin Williams,2208
charlotte-hornets,2018,Cody Zeller,13317
charlotte-hornets,2018,Michael Kidd-Gilchrist,10810
charlotte-hornets,2018,Kemba Walker,8059
charlotte-hornets,2018,Jeremy Lamb,10820
charlotte-hornets,2018,Tony Parker,2710
charlotte-hornets,2018,Frank Kaminsky,17837
charlotte-hornets,2018,Malik Monk,23606
charlotte-hornets,2018,Miles Bridges,26978
charlotte-hornets,2018,Willy Hernangomez,17863
charlotte-hornets,2018,Shelvin Mack,8086
charlotte-hornets,2018,Dwayne Bacon,23640
charlotte-hornets,2018,Devonte' Graham,27000
chicago-bulls,2018,Otto Porter Jr.,13316
chicago-bulls,2018,Zach LaVine,15365
chicago-bulls,2018,Robin Lopez,6147
chicago-bulls,2018,Cristiano Felicio,17990
chicago-bulls,2018,Lauri Markkanen,23602
chicago-bulls,2018,Wendell Carter Jr.,26973
chicago-bulls,2018,Kris Dunn,20210
chicago-bulls,2018,Denzel Valentine,20219
chicago-bulls,2018,Chandler Hutchison,26988
chicago-bulls,2018,Timothe Luwawu-Cabarrot,20229
chicago-bulls,2018,Wayne Selden,20921
chicago-bulls,2018,Ryan Arcidiacono,20275
chicago-bulls,2018,Antonio Blakeney,24223
chicago-bulls,2018,Shaquille Harrison,21066
chicago-bulls,2018,Walter Lemon Jr.,24982
cleveland-cavaliers,2018,Kevin Love,6132
cleveland-cavaliers,2018,Tristan Thompson,8054
cleveland-cavaliers,2018,J.R. Smith,2296
cleveland-cavaliers,2018,Brandon Knight,8058
cleveland-cavaliers,2018,Jordan Clarkson,15398
cleveland-cavaliers,2018,John Henson,10822
cleveland-cavaliers,2018,Matthew Dellavedova,13478
cleveland-cavaliers,2018,Collin Sexton,26974
cleveland-cavaliers,2018,Marquese Chriss,20213
cleveland-cavaliers,2018,Cedi Osman,17859
cleveland-cavaliers,2018,Larry Nance Jr.,17855
cleveland-cavaliers,2018,Ante Zizic,20228
cleveland-cavaliers,2018,Channing Frye,2674
cleveland-cavaliers,2018,David Nwaba,21577
cleveland-cavaliers,2018,Nik Stauskas,15360
dallas-mavericks,2018,Tim Hardaway Jr.,13337
dallas-mavericks,2018,Courtney Lee,6144
dallas-mavericks,2018,Dwight Powell,15397
dallas-mavericks,2018,Luka Doncic,26969
dallas-mavericks,2018,Kristaps Porzingis,17832
dallas-mavericks,2018,Dirk Nowitzki,2279
dallas-mavericks,2018,Jose Barea,2269
dallas-mavericks,2018,Justin Jackson,23610
dallas-mavericks,2018,Trey Burke,13322
dallas-mavericks,2018,Dorian Finney-Smith,20757
dallas-mavericks,2018,Devin Harris,2592
dallas-mavericks,2018,Maxi Kleber,24212
dallas-mavericks,2018,Jalen Brunson,26999
dallas-mavericks,2018,Ryan Broekhoff,27626
dallas-mavericks,2018,Salah Mejri,18067
denver-nuggets,2018,Paul Millsap,2754
denver-nuggets,2018,Nikola Jokic,15393
denver-nuggets,2018,Gary Harris,15371
denver-nuggets,2018,Mason Plumlee,13335
denver-nuggets,2018,Will Barton,10865
denver-nuggets,2018,Jamal Murray,20212
denver-nuggets,2018,Trey Lyles,17840
denver-nuggets,2018,Michael Porter Jr.,26980
denver-nuggets,2018,Juan Hernangomez,20220
denver-nuggets,2018,Torrey Craig,24230
denver-nuggets,2018,Tyler Lydon,23619
denver-nuggets,2018,Malik Beasley,20224
denver-nuggets,2018,Isaiah Thomas,8111
denver-nuggets,2018,Monte Morris,23652
denver-nuggets,2018,Jarred Vanderbilt,27007
detroit-pistons,2018,Blake Griffin,6501
detroit-pistons,2018,Andre Drummond,10817
detroit-pistons,2018,Reggie Jackson,8075
detroit-pistons,2018,Jon Leuer,8092
detroit-pistons,2018,Langston Galloway,15824
detroit-pistons,2018,Ishmael Smith,7116
detroit-pistons,2018,Glenn Robinson III,15392
detroit-pistons,2018,Luke Kennard,23607
detroit-pistons,2018,Thon Maker,20215
detroit-pistons,2018,Wayne Ellington,6302
detroit-pistons,2018,Jose Calderon,2734
detroit-pistons,2018,Zaza Pachulia,2203
detroit-pistons,2018,Sviatoslav Mykhailiuk,27013
detroit-pistons,2018,Bruce Brown,27008
detroit-pistons,2018,Khyri Thomas,27004
golden-state-warriors,2018,Stephen Curry,6287
golden-state-warriors,2018,Kevin Durant,2717
golden-state-warriors,2018,Klay Thompson,8062
golden-state-warriors,2018,Draymond Green,10860
golden-state-warriors,2018,Andre Iguodala,2652
golden-state-warriors,2018,Shaun Livingston,2477
golden-state-warriors,2018,DeMarcus Cousins,6886
golden-state-warriors,2018,Jacob Evans,26994
golden-state-warriors,2018,Quinn Cook,18264
golden-state-warriors,2018,Damian Jones,20235
golden-state-warriors,2018,Jonas Jerebko,6285
golden-state-warriors,2018,Kevon Looney,17858
golden-state-warriors,2018,Jordan Bell,23633
golden-state-warriors,2018,Alfonzo McKinnie,24106
golden-state-warriors,2018,Andrew Bogut,2560
houston-rockets,2018,Chris Paul,2609
houston-rockets,2018,James Harden,6312
houston-rockets,2018,Clint Capela,15377
houston-rockets,2018,Eric Gordon,6116
houston-rockets,2018,Iman Shumpert,8068
houston-rockets,2018,P.J. Tucker,11059
houston-rockets,2018,Nene Hilario,6103
houston-rockets,2018,Gerald Green,6100
houston-rockets,2018,Austin Rivers,10818
houston-rockets,2018,Isaiah Hartenstein,23644
houston-rockets,2018,Kenneth Faried,8073
houston-rockets,2018,Gary Clark,27627
houston-rockets,2018,Danuel House,20800
houston-rockets,2018,Chris Chiozza,28033
houston-rockets,2018,Michael Frazier,18144
indiana-pacers,2018,Victor Oladipo,13315
indiana-pacers,2018,Thaddeus Young,2658
indiana-pacers,2018,Tyreke Evans,6326
indiana-pacers,2018,Bojan Bogdanovic,8083
indiana-pacers,2018,Darren Collison,6307
indiana-pacers,2018,Cory Joseph,8080
indiana-pacers,2018,Doug McDermott,15363
indiana-pacers,2018,Kyle O'Quinn,10874
indiana-pacers,2018,Myles Turner,17839
indiana-pacers,2018,Domantas Sabonis,20216
indiana-pacers,2018,TJ Leaf,23613
indiana-pacers,2018,Aaron Holiday,26989
indiana-pacers,2018,Alize Johnson,27016
indiana-pacers,2018,Wesley Matthews,6489
indiana-pacers,2018,Edmond Sumner,23653
los-angeles-clippers,2018,Danilo Gallinari,6138
los-angeles-clippers,2018,Wilson Chandler,2616
los-angeles-clippers,2018,Garrett Temple,6492
los-angeles-clippers,2018,Louis Williams,2657
los-angeles-clippers,2018,JaMychal Green,11666
los-angeles-clippers,2018,Montrezl Harrell,17860
los-angeles-clippers,2018,Patrick Beverley,6297
los-angeles-clippers,2018,Shai Gilgeous-Alexander,26977
los-angeles-clippers,2018,Jerome Robinson,26979
los-angeles-clippers,2018,Landry Shamet,26992
los-angeles-clippers,2018,Rodney McGruder,13575
